,address,birthdate,blood_group,company,job,mail,name,phone,residence,sex,ssn,username,website
10,"ст. Моздок, ул. Первомайская, д. 25, 931785",1979-06-02,0-,АО «Дмитриева»,Лаборант,evstafi_94@gmail.com,Гуляев Ираклий Гурьевич,+7 168 413 2909,"д. Змеиногорск, ул. Белорусская, д. 61, 818931",M,256097792414,erofetihonov,['http://www.filatova.biz/']
11,"д. Чита, ул. Логовая, д. 79, 370856",1991-05-22,0+,Авдеева,Ихтиолог,baranovruben@rambler.ru,Савин Эдуард Ермилович,+7 127 998 71 96,"д. Апрелевка, ул. Дорожников, д. 15, 985913",M,075974540405,panovtit,"['http://ip.info/', 'https://www.belousova.com/']"
12,"к. Ханты-Мансийск, ул. Халтурина, д. 20, 440939",1986-01-18,0+,НПО «Евдокимов»,Аккумуляторщик,innokenti62@hotmail.com,тов. Гаврилова Ирина Тимофеевна,+7 (636) 342-83-96,"к. Билибино, ул. Микрорайон, д. 83, 225806",F,637598828700,tvoronov,"['https://www.ip.ru/', 'http://ip.ru/']"
13,"клх Яхрома, ул. Западная, д. 89, 599058",2011-10-20,0+,НПО «Брагин»,Кинооператор,valerjan2017bronislav_2016@mail.ru,Ширяев Добромысл Глебович,+7 (279) 543-1394,"клх Баргузин, ул. Комарова, д. 17, 077244",M,400158158060,onufrisorokin,"['http://www.rao.net/', 'http://www.abramov.net/', 'https://ip.biz/']"
14,"с. Шилка, ул. Ярославская, д. 87, 040670",1976-03-03,A-,ИП «Беляев-Лаврентьева»,Гренадер,lihachevvladilen@rambler.ru,Мартынов Карл Бориславович,+7 751 099 2608,"к. Верхоянск, ул. Иркутская, д. 64, 702590",M,990926688428,kopilovermola,['https://www.ao.ru/']
15,"п. Анадырь, ул. Шмидта, д. 18, 028984",1974-12-08,0-,"НПО «Тетерина, Елисеева и Федотов»",Хлопокороб,judinoleg@mail.ru,Савин Прокл Демидович,+7 (132) 323-55-86,"клх Нефтеюганск, ул. Красина, д. 71, 895169",M,568789132717,ratibor76,"['http://rao.edu/', 'http://www.kalinina.net/', 'https://knjazeva.info/']"
16,"к. Кировск (Ленин.), ул. Запорожская, д. 78, 740176",2008-09-26,B-,АО «Смирнова»,Кредитный консультант,timofeevanonna@yahoo.com,Шилов Вадим Брониславович,+7 (692) 664-87-76,"п. Грозный, ул. Лесная, д. 78, 659078",M,577515620357,dovchinnikov,"['https://www.ip.edu/', 'https://npo.ru/']"
17,"клх Адыгейск, ул. Машиностроителей, д. 04, 743375",1975-01-20,0-,Симонова,Диджей,azari12@gmail.com,Фролов Тихон Феофанович,+7 749 161 19 64,"п. Котельнич, ул. Кузнечная, д. 52, 980029",M,521269388908,rogovgerasim,"['http://ao.biz/', 'http://ao.com/', 'http://www.ao.org/', 'http://www.rao.info/']"
18,"г. Беломорск, ул. Ермака, д. 07, 835696",2003-04-05,A+,"ИП «Вишнякова, Тетерина и Гришина»",Ортопед,teterinaregina@yahoo.com,Громов Аполлинарий Игнатович,+7 010 422 3268,"с. Устюжна, ул. Отрадная, д. 31, 496157",M,456798300597,filatovosip,"['https://www.bobrova.net/', 'http://ao.org/']"
19,"с. Ельня, ул. Малиновая, д. 82, 731124",1981-01-28,A+,АО «Кузнецова-Цветков»,Мельник,shilovaivanna@gmail.com,Анисимов Аскольд Федотович,+7 418 551 6497,"клх Великие Луки, ул. Воронежская, д. 65, 382530",M,313652420358,bogdanvasilev,"['http://www.ip.info/', 'http://birjukov.ru/', 'http://www.ao.info/', 'http://www.ao.org/']"
20,"к. Партизанск, ул. Ульяновская, д. 09, 805958",1999-09-19,B-,НПО «Соловьев»,Гепатолог,evpraksija_29@yahoo.com,Тарасова Светлана Ждановна,+7 (013) 710-1387,"д. Жиганск, ул. Морская, д. 34, 796890",F,398572150015,matve_31,"['http://www.ao.edu/', 'https://rao.biz/', 'http://rao.info/']"
21,"клх Махачкала, ул. Зеленая, д. 25, 727256",1972-01-16,AB-,ИП «Михеев Лукина»,Радист,klavdija2016kuzma_2005@yahoo.com,Зимина Евдокия Руслановна,+7 (202) 298-35-26,"ст. Озеры, ул. Кедровая, д. 10, 917329",F,035042603917,igor1996timofe_1976,"['https://ip.com/', 'https://rao.ru/', 'https://ip.biz/']"
22,"д. Озеры, ул. Воровского, д. 04, 876497",2003-06-20,0+,Аксенова,Акушер,arhipovaangelina@hotmail.com,Мартынова Анжела Захаровна,+7 506 885 85 20,"с. Курган, ул. Урицкого, д. 76, 005062",F,726744514337,viktor78,"['https://voronova.net/', 'http://rao.edu/', 'https://www.ao.edu/', 'http://www.gromova.edu/']"
23,"д. Вязьма, ул. Ручейная, д. 58, 518746",2005-05-29,B-,"РАО «Аксенова, Куликов и Бобылев»",Инженер-гидравлик,tsvetkovasinklitikija@yahoo.com,Зайцева София Мироновна,+7 (992) 199-7011,"клх Магас, ул. Седова, д. 06, 893854",F,819697753850,jvoronova,['http://ip.net/']
24,"к. Алагир, ул. Добролюбова, д. 96, 763889",1978-06-26,B+,НПО «Панфилов-Щербаков»,Фельдшер,artemevevstafi@rambler.ru,Овчинников Мариан Феликсович,+7 525 167 01 63,"с. Листвянка (Иркут.), ул. Щорса, д. 71, 713910",M,876218196208,sharovefim,"['https://www.rao.edu/', 'http://npo.ru/']"
25,"клх Ершов, ул. Короткая, д. 74, 259166",1985-07-02,AB+,Ефремов,Столяр,arkadimaslov@yahoo.com,Назаров Якуб Андреевич,+7 (149) 423-86-36,"к. Шали, ул. Красноярская, д. 16, 866967",M,637800964904,jfomin,"['http://ip.info/', 'https://www.rao.ru/']"
26,"с. Асино, ул. Республиканская, д. 06, 596133",1991-11-01,B-,АО «Козлова»,Метрдотель,rmihalova@hotmail.com,Романов Кир Адамович,+7 (934) 586-87-73,"к. Енисейск, ул. Рабочая, д. 25, 705417",M,479963529390,larisa_28,"['https://nikitin.net/', 'https://npo.edu/', 'https://bragin.info/', 'https://grishin.ru/']"
27,"клх Когалым, ул. Некрасова, д. 63, 260013",2012-08-20,0-,"РАО «Фадеева, Назарова и Николаев»",Сталевар,epifanorehov@gmail.com,Шубин Святополк Владленович,+7 (295) 300-22-58,"ст. Кимры, ул. Высоковольтная, д. 57, 443024",M,060088767000,miroslavvasilev,['https://ip.org/']
28,"к. Урус-Мартан, ул. Виноградная, д. 84, 109672",1992-12-27,B-,Самойлова,Таможенник,ratibor_69@rambler.ru,Дроздов Аристарх Тарасович,+7 526 956 41 64,"к. Тикси, ул. Кедровая, д. 44, 545379",M,594241274095,innokenti1988jaropolk_1986,"['https://www.ao.com/', 'https://www.ao.biz/']"
29,"к. Батайск, ул. Короленко, д. 41, 593466",2012-10-24,A-,ИП «Титова Денисова»,Танатолог,samsonovaija@rambler.ru,Белозеров Фирс Витальевич,+7 (110) 397-2315,"клх Невинномысск, ул. Горняцкая, д. 95, 753563",M,433767095975,novikovartemi,['http://www.suhanov.net/']
30,"г. Комсомольск-на-Амуре, ул. Слободская, д. 21, 545731",2012-11-30,B+,Зыкова,Невролог,romanovlazar@hotmail.com,Савин Ферапонт Терентьевич,+7 756 969 45 41,"п. Руза, ул. Дачная, д. 03, 015290",M,598638121872,qlazarev,"['https://www.ao.edu/', 'http://www.ip.com/', 'https://www.npo.net/']"
31,"г. Льгов, ул. Энергетиков, д. 81, 185917",2010-11-18,AB-,ИП «Игнатьев-Рожкова»,Следователь,qkonstantinov@gmail.com,Кириллов Евгений Артёмович,+7 040 442 46 52,"к. Дзержинск, ул. Абрикосовая, д. 72, 384292",M,562708394799,jakov_09,"['https://www.karpova.com/', 'https://www.zueva.ru/', 'http://npo.biz/', 'https://www.rao.net/']"
32,"г. Калачинск, ул. Челюскинцев, д. 38, 667513",1978-01-09,A-,НПО «Сысоев-Медведев»,Фрезеровщик,gorshkovsilvestr@yahoo.com,Ситникова Глафира Юрьевна,+7 (674) 114-3286,"д. Бомнак, ул. Мелиораторов, д. 92, 807462",F,616272221750,uvarovaevpraksija,"['https://shcherbakova.ru/', 'https://www.rao.org/']"
33,"г. Охотск, ул. Береговая, д. 96, 674834",1971-03-31,0+,Богданов,Парикмахер,orest82@gmail.com,Зыков Андрон Антипович,+7 (314) 249-50-57,"к. Смоленск, ул. Прохладная, д. 86, 948697",M,015791340871,orehovevstafi,"['https://www.ip.com/', 'http://konstantinov.org/', 'https://ao.info/']"
34,"к. Каргополь, ул. Высотная, д. 35, 733166",1985-02-20,0+,НПО «Симонова Самсонов»,Бактериолог,evdokimovapolina@yahoo.com,Мишин Пров Васильевич,+7 283 631 6531,"с. Златоуст, ул. Васильковая, д. 00, 023629",M,892076865176,ozinovev,"['https://www.rao.biz/', 'http://ao.net/']"
35,"п. Череповец, ул. Короленко, д. 98, 507475",2009-01-29,B+,РАО «Семенова-Воронова»,Мясник,mihe1981varfolome_1997@gmail.com,Прохорова Ия Натановна,+7 398 703 06 84,"с. Москва, МГУ, ул. Высотная, д. 45, 887699",F,582868365302,galaktionarhipov,"['http://www.ip.biz/', 'http://nikiforov.biz/', 'http://npo.org/']"
36,"д. Кемерово, ул. Кавказская, д. 69, 933191",2017-03-21,A+,"НПО «Устинова, Шарапов и Баранова»",Животновод,filaret07@gmail.com,Никонова Ульяна Вячеславовна,+7 (312) 284-8999,"к. Пышма, ул. Азовская, д. 47, 151811",F,537563018329,arefi_40,"['http://www.rao.ru/', 'https://ip.ru/', 'http://www.rao.biz/']"
37,"п. Нижний Тагил, ул. Черемуховая, д. 39, 991455",1992-05-28,AB+,АО «Беспалов»,Кок,denissergeev@gmail.com,Одинцов Касьян Валерьевич,+7 756 277 2521,"г. Мытищи, ул. Р.Люксембург, д. 57, 118121",M,404119306664,vpotapov,"['http://www.ip.info/', 'http://kosheleva.org/', 'https://www.npo.info/']"
38,"г. Нарым, ул. Союзная, д. 40, 072375",1987-11-06,AB-,РАО «Колесников-Павлов»,Швея,elisedmitriev@rambler.ru,Титова Агата Ефимовна,+7 (205) 255-57-94,"д. Кемерово, ул. Комарова, д. 70, 030576",F,685826197415,osip2012artemi_2005,"['http://ip.edu/', 'http://www.rao.com/', 'https://ao.ru/', 'http://kudrjavtsev.info/']"
39,"ст. Ербогачен, ул. Колхозная, д. 39, 617251",1996-02-11,B+,РАО «Козлов Горбачев»,Психолог,konon_42@yahoo.com,Чернова Ксения Тарасовна,+7 (144) 671-8629,"п. Тура, ул. Интернациональная, д. 73, 011018",F,035417829385,gedeon2015serge_1983,"['http://ip.edu/', 'https://ao.com/', 'http://zimin.ru/', 'http://www.makarova.org/']"
40,"клх Куртамыш, ул. Титова, д. 01, 899203",2013-05-14,A-,РАО «Ширяев Рожков»,Ортопед,agge78@mail.ru,Калашникова Ольга Филипповна,+7 (986) 800-65-81,"ст. Адыгейск, ул. Пригородная, д. 15, 058473",F,922845178665,dorofe_06,"['http://ao.ru/', 'http://npo.info/', 'https://kulakova.ru/']"
41,"с. Усинск, ул. Гастелло, д. 52, 630100",1988-09-08,A-,НПО «Виноградова-Щербакова»,Кинооператор,kononovoleg@hotmail.com,Власов Валерий Иосифович,+7 074 271 91 30,"клх Томари, ул. Культуры, д. 18, 338100",M,217793494353,alina_17,"['https://ip.com/', 'http://www.npo.info/', 'http://ip.info/', 'https://npo.net/']"
42,"д. Ялуторовск, ул. Народная, д. 02, 908460",2010-07-31,B+,Шубина,Брейдер,knjazevorest@yandex.ru,Никитин Мартьян Яковлевич,+7 019 384 81 84,"клх Истра, ул. Привольная, д. 60, 249608",M,486972733573,nonna1991tatjana_1975,['https://rao.edu/']
43,"к. Боровск, ул. Луговая, д. 36, 814649",2002-05-24,B-,"РАО «Дементьев, Комиссаров и Моисеев»",Жиловщик/Обвальщик,rlobanov@mail.ru,Ефимова Эмилия Григорьевна,+7 599 888 47 13,"к. Мирный, ул. Логовая, д. 65, 176690",F,025569747083,afinogen78,"['https://rao.com/', 'https://www.ip.info/', 'http://danilova.edu/', 'http://www.ip.biz/']"
44,"к. Усть-Ишим, ул. Ручейная, д. 87, 078066",1970-07-23,AB+,"РАО «Тимофеева, Матвеева и Якушев»",Издатель,emeljannikitin@mail.ru,Капустина Анжелика Егоровны,+7 (984) 896-4119,"клх Александров Гай, ул. Сосновая, д. 83, 436110",F,169445150282,belovaalevtina,['http://ao.edu/']
45,"с. Юрьевец (Иван.), ул. Локомотивная, д. 51, 251839",1990-09-26,A+,АО «Быков»,Хирург,elizaveta_43@yandex.ru,г-н. Калашников Никита Димитриевич,+7 (539) 723-98-67,"к. Звенигород, ул. Новоселов, д. 26, 836320",M,576290254242,visheslav28,"['https://npo.info/', 'https://seliverstova.com/']"
46,"д. Бирск, ул. Урожайная, д. 55, 168096",1982-12-19,B+,РАО «Потапова»,Лётчик,sitnikovfedosi@hotmail.com,Осипов Сила Валентинович,+7 (805) 877-68-73,"клх Каспийск, ул. Карбышева, д. 90, 946827",M,630182395083,varlaam_93,"['https://npo.info/', 'https://ip.edu/']"
47,"п. Амурск, ул. Халтурина, д. 71, 239764",2014-01-11,AB-,РАО «Фомичева-Лаврентьев»,Инженер-гидравлик,shchukinmoke@hotmail.com,Князев Владлен Августович,+7 362 540 0808,"п. Красногорск (Моск.), ул. Космодемьянской, д. 32, 092552",M,393644621964,kornilnekrasov,"['http://ao.info/', 'https://www.ao.biz/', 'https://ip.org/']"
48,"г. Иркутск, ул. Свободы, д. 68, 845606",2013-09-14,0-,"АО «Кулаков, Дьячков и Морозов»",Доярка,harlampi1993pahom_1992@hotmail.com,Шилов Архип Всеволодович,+7 (131) 468-19-34,"клх Костомукша, ул. Чкалова, д. 87, 177973",M,878692589087,demjan_91,"['https://npo.biz/', 'https://ip.ru/']"
49,"клх Нефтеюганск, ул. Разина, д. 74, 671613",2007-10-03,B-,ИП «Гаврилова»,Штукатур,nikolaevsigizmund@yandex.ru,Ширяев Мокей Феофанович,+7 (664) 821-4482,"г. Верхоянск, ул. Высоцкого, д. 83, 301406",M,413617209645,nazarovamos,['http://www.npo.info/']
50,"д. Петрозаводск, ул. Рабочая, д. 16, 766468",1976-04-02,0-,ИП «Ефимова»,Дворник,tpopov@yandex.ru,Денисова Анастасия Григорьевна,+7 503 138 69 10,"ст. Махачкала, ул. Учительская, д. 32, 255355",F,122701941564,aleksandr_91,"['http://rao.net/', 'http://www.npo.ru/']"
51,"п. Кущевская, ул. Спартака, д. 77, 007397",1994-01-29,AB+,НПО «Егорова-Лебедева»,Машинист,gedeon_74@gmail.com,Ершова Ия Ниловна,+7 (110) 353-4781,"ст. Курчатов, ул. Уральская, д. 57, 559950",F,844347694258,jmihalova,['https://www.guseva.com/']
52,"д. Североуральск, ул. Октябрьская, д. 83, 427547",2013-04-14,B+,АО «Коновалов Орехов»,Судья,afinogen_06@yahoo.com,Харитонов Велимир Ермилович,+7 (007) 535-9894,"к. Красноселькуп, ул. Металлургов, д. 23, 483590",M,679684560522,psavina,"['http://www.ao.ru/', 'https://ip.net/']"
53,"клх Борзя, ул. Ореховая, д. 78, 605832",1979-04-28,0-,НПО «Никифоров Борисов»,Ювелир,filimon1972zahar_1976@yahoo.com,Виноградов Зиновий Дмитриевич,+7 (865) 084-22-93,"д. Пышма, ул. Томская, д. 18, 779072",M,744153243898,filaret_22,"['http://www.ao.biz/', 'http://www.ao.biz/']"
54,"ст. Камень-на-Оби, ул. Набережная, д. 12, 980175",2010-05-06,0+,"АО «Капустин, Александрова и Фомина»",Кузнец,galkinmakar@yandex.ru,Лукина Юлия Львовна,+7 196 964 7072,"г. Тарко-Сале, ул. Есенина, д. 21, 785904",F,669928813055,agap2014vseslav_2008,['http://ao.info/']
55,"клх Малая Вишера, ул. Верхняя, д. 07, 348152",1999-10-04,A-,Артемьев,Министр,fominkuzma@rambler.ru,Кулаков Захар Бориславович,+7 (065) 145-59-60,"к. Новочеркасск, ул. Пожарского, д. 18, 980596",M,522261622068,safonovsvetozar,"['https://www.npo.biz/', 'http://www.rao.net/', 'http://ip.ru/']"
56,"ст. Бийск, ул. Степная, д. 26, 579003",2012-12-21,A+,АО «Калашникова Дьячкова»,Историк,moisebeljaev@yahoo.com,Ситникова Глафира Вениаминовна,+7 (649) 036-54-93,"к. Мирный, ул. Белинского, д. 43, 271046",F,785163216499,bkomarov,"['https://www.rao.info/', 'http://ip.ru/', 'https://www.ip.org/']"
57,"к. Бодайбо, ул. Угольная, д. 15, 261540",1992-03-12,0-,РАО «Миронова Смирнов»,Машинистка,burovvikenti@hotmail.com,Зимин Феликс Эдгардович,+7 (796) 059-5330,"д. Южноуральск, ул. Черняховского, д. 27, 599117",M,317941069728,gerasim_45,['https://www.ao.biz/']
58,"к. Бугуруслан, ул. Азовская, д. 27, 951518",1976-03-27,A+,ИП «Кириллова»,Холодильщик,shestakovavgust@mail.ru,Семенова Пелагея Львовна,+7 (692) 680-1608,"клх Байкальск, ул. Белорусская, д. 33, 992951",F,513360730638,guljaevaninel,"['http://alekseeva.net/', 'https://www.komissarov.edu/']"
59,"с. Дербент, ул. Блюхера, д. 35, 074933",1995-02-21,A+,НПО «Сазонова»,Ботаник,seleznevsavvati@gmail.com,г-жа Авдеева Фёкла Валериевна,+7 (687) 992-90-85,"д. Радужный, ул. Космонавтов, д. 09, 918924",F,449520908477,veselovmina,"['http://ip.net/', 'http://www.filatov.ru/', 'https://www.mamontov.com/']"
60,"г. Ревда (Сверд.), ул. Саратовская, д. 68, 509793",2000-01-08,B-,"НПО «Ефимова, Анисимова и Устинов»",Коневод,bobilevseliverst@yandex.ru,Колесников Никандр Аверьянович,+7 469 929 7184,"ст. Сухиничи, ул. Тургенева, д. 03, 595218",M,059581630084,borisovruben,"['http://ao.ru/', 'http://www.fedoseev.net/']"
61,"клх Андреаполь, ул. Красная, д. 44, 273625",1992-10-25,A+,НПО «Воронцова Горшкова»,Изобретатр,erast_52@gmail.com,Кондратьева Евгения Ниловна,+7 (906) 863-9795,"с. Иваново, ул. Юности, д. 62, 563360",F,749539666833,rostislav57,"['http://www.rao.org/', 'http://komarov.com/', 'https://rao.biz/', 'http://ao.org/']"
62,"с. Холмогоры, ул. Тупиковая, д. 88, 819269",2009-07-26,AB+,АО «Стрелкова-Калашникова»,Автогонщик,odoronin@gmail.com,Зайцев Савватий Филимонович,+7 591 470 69 99,"п. Киржач, ул. Придорожная, д. 33, 611321",M,241134464658,xantonova,"['http://ao.biz/', 'http://mjasnikov.com/', 'https://www.ao.org/', 'https://npo.org/']"
63,"с. Карпинск, ул. Тенистая, д. 75, 995533",2009-09-20,A-,Григорьев,Слесарь-механик,ykiselev@yahoo.com,Калинин Селиван Устинович,+7 (565) 886-39-71,"ст. Кырен, ул. Щербакова, д. 54, 421552",M,533681338126,grishinfoka,"['http://rao.edu/', 'http://rao.net/', 'http://www.ip.biz/', 'https://www.npo.ru/']"
65,"к. Осташков, ул. Казанская, д. 23, 383154",2015-04-30,0-,АО «Крюкова»,Бортмеханик,epifangushchin@hotmail.com,Гусева Анна Юрьевна,+7 907 680 57 60,"г. Домбай, ул. Петровская, д. 55, 327461",F,628066913430,kononovaevpraksija,['http://www.ip.edu/']
66,"к. Сорочинск, ул. Садовая, д. 35, 645710",1983-03-19,A+,НПО «Лапина-Туров»,Дизайнер,vadimnovikov@yandex.ru,Игнатов Касьян Герасимович,+7 511 147 78 29,"ст. Тверь, ул. Циолковского, д. 90, 838590",M,340011441850,evseevaviktorija,"['http://www.ip.com/', 'https://www.npo.info/']"
67,"клх Сыктывкар, ул. Ангарская, д. 76, 993846",1973-12-30,0+,ИП «Титова»,Генетик,milovanmakarov@hotmail.com,Чернова Анжела Харитоновна,+7 (595) 543-90-27,"п. Калевала, ул. Новоселов, д. 51, 492123",F,983534342884,gedeon1983zosima_1981,"['http://sisoeva.biz/', 'http://www.naumova.ru/', 'https://npo.net/', 'http://ao.com/']"
68,"г. Ивдель, ул. Попова, д. 98, 775233",1994-07-21,A+,НПО «Коновалов»,Дизайнер-конструктор,filipp1971evgraf_1977@yahoo.com,Владимиров Аполлинарий Якубович,+7 856 264 2090,"клх Арзамас, ул. Толстого, д. 05, 449054",M,279139107023,svjatoslavlihachev,"['http://npo.ru/', 'http://www.vladimirov.org/']"
69,"г. Елабуга, ул. Лесхозная, д. 75, 810050",1996-09-14,B+,РАО «Сафонова-Тетерин»,Педиатр,msamolov@hotmail.com,Копылов Никанор Игнатович,+7 241 151 13 85,"клх Углич, ул. Культуры, д. 41, 255293",M,227318769934,lazar1970roman_1972,"['http://www.rao.org/', 'https://www.npo.biz/']"
70,"ст. Рыбинск, ул. Макаренко, д. 56, 453873",1976-04-21,AB-,НПО «Никонов-Костина»,Химик-аналитик,braginkarl@gmail.com,Большаков Тимур Демидович,+7 (967) 669-92-04,"с. Набережные Челны, ул. Серова, д. 00, 857289",M,368329389638,vladislav_97,"['https://nesterov.org/', 'https://ip.biz/']"
71,"г. Карабулак, ул. Серафимовича, д. 85, 291498",2017-06-12,A+,"РАО «Соловьева, Лихачев и Белова»",Коммерческий директор,grigorevvelimir@hotmail.com,Игнатьев Тихон Ильич,+7 600 095 09 23,"к. Новый Уренгой, ул. Дачная, д. 71, 043542",M,920550673608,spiridon49,['http://ao.biz/']
72,"п. Сочи, ул. Заводская, д. 29, 574343",1988-04-14,AB+,НПО «Харитонов-Цветков»,Металлург,popovanaina@mail.ru,Матвеева Марфа Дмитриевна,+7 (157) 803-22-38,"ст. Серпухов, ул. Угольная, д. 67, 222934",F,397321938514,merkushevdenis,['http://rao.net/']
73,"г. Пушкин, ул. Рябиновая, д. 05, 878733",1976-03-25,AB+,АО «Мясникова Родионов»,Гренадер,arsenikondratev@yahoo.com,Цветков Евдоким Тихонович,+7 559 977 8303,"к. Александровск-Сахалинский, ул. Журавлева, д. 88, 381789",M,700007034063,kalininbogdan,"['https://ip.com/', 'http://www.sisoeva.ru/', 'https://ao.biz/', 'http://www.ip.edu/']"
74,"с. Сызрань, ул. Монтажников, д. 07, 464962",1988-12-08,AB-,Устинова,Оператор машинного доения,larionovefrem@mail.ru,Русакова Юлия Егоровны,+7 (377) 617-45-09,"к. Валаам, ул. Раздольная, д. 40, 618342",F,971962272625,sofron_60,['http://www.rao.org/']
75,"д. Сосновый Бор, ул. К.Маркса, д. 06, 314265",1982-11-11,0-,ИП «Зуев Одинцова»,Балетмейстер,oharitonova@hotmail.com,Брагина Светлана Вячеславовна,+7 092 796 84 12,"ст. Усть-Ишим, ул. Максима Горького, д. 10, 205005",F,410615787575,emil24,"['https://ao.com/', 'http://ip.ru/', 'http://www.kazakova.ru/']"
76,"г. Благовещенск (Амур.), ул. Выгонная, д. 98, 440862",1977-11-12,B+,АО «Степанова-Рыбаков»,Инженер-конструктор,kolobovatatjana@mail.ru,Колесникова Олимпиада Вячеславовна,+7 671 245 1048,"с. Магнитогорск, ул. Рязанская, д. 83, 760875",F,478319539208,hohlovaalina,"['https://www.ip.org/', 'https://www.rao.ru/', 'https://komarov.org/', 'http://ip.com/']"
77,"клх Новокузнецк, ул. Плеханова, д. 69, 649604",2001-10-27,AB+,Павлова,Авиатехник,kazimir_86@yahoo.com,Тихонов Остап Валентинович,+7 (182) 906-4994,"с. Лысьва, ул. Камская, д. 49, 478685",M,018841292502,anzhelika_94,"['https://www.npo.org/', 'https://rao.com/', 'https://www.rao.info/', 'http://www.ip.ru/']"
78,"с. Кетченеры, ул. Стахановская, д. 90, 501214",2010-09-05,B-,АО «Дорофеев»,Металлург,venedikt2008valerjan_2015@rambler.ru,Кулагина Людмила Кузминична,+7 596 572 6449,"с. Юрьевец (Иван.), ул. Новгородская, д. 46, 669698",F,875542324920,pnikonova,"['https://www.ip.biz/', 'https://www.rao.com/', 'http://npo.biz/']"
79,"клх Терней, ул. Родниковая, д. 37, 965155",1970-07-19,AB+,Мишин,Десантник,sidorovaljudmila@gmail.com,Горбачев Савва Ануфриевич,+7 062 628 87 50,"с. Абинск, ул. Ворошилова, д. 81, 175904",M,867114056113,kuznetsovjuvenali,['http://www.npo.net/']
